"HHID","PID","h4q2","h4q3","h4q4","h4q5","h4q6","h4q7","h4q8","h4q9","h4q10","h4q11","h4q12","h4q13","h4q14","h4q15a","h4q15b","h4q15c","h4q15d","h4q15e","h4q15f","h4q15g","h4q16","h4q17","h4q18","h2q1"
"1021001007","102100100703",2,"102100100702",4,3,,,,12,13,2,3,0,0,0,13000,60000,12000,810000,60000,955000,2,,,
"1021001011","102100101103",2,"102100101101",4,3,,,,15,16,2,3,,,7000,0,4500,5000,0,0,16500,2,,,
"1021001011","102100101102",2,"102100101101",4,3,,,,34,35,2,3,,,45000,20000,20000,0,0,5000,90000,2,,,
"1021001011","102100101101",1,,3,2,,33,3,,,,,,,,,,,,,,,,,
"1021001102","102100110201",1,,4,3,,,,35,50,2,1,7,30,370000,0,0,60000,,50000,480000,2,,3,
"1021001105","102100110501",1,,4,2,,17,12,,,,,,,,,,,,,,,,,
"1021001107","102100110707",2,"102100110702",4,2,,32,3,,,,,,,,,,,,,,,,,
"1021001107","102100110709",2,"102100110702",1,3,,,,1,10,4,1,2,40,36000,16000,6000,0,,20000,78000,1,3,3,
"1021001107","102100110704",2,"102100110701",4,2,,33,3,,,,,,,,,,,,,,,,,
"1021001107","102100110705",2,"102100110702",4,3,,,,33,50,1,2,,,1200000,0,0,0,0,0,1200000,1,6,,
"1021001107","102100110703",2,"102100110701",1,2,,36,3,,,,,,,,,,,,,,,,,
"1021001107","102100110708",2,"102100110702",4,3,,,,30,30,1,1,15,60,0,36000,60000,0,,0,96000,1,1,3,
"1021001107","102100110701",2,"102100110702",4,2,,51,3,,,,,,,,,,,,,,,,,
"1021001107","102100110702",1,,4,2,,31,3,,,,,,,,,,,,,,,,,
"1021001107","102100110706",2,"102100110702",4,2,,34,3,,,,,,,,,,,,,,,,,
"1021001109","102100110903",2,"102100110904",4,3,,,,61,61,1,3,9,30,1600000,0,0,0,0,1000000,2600000,2,,,
"1021001109","102100110905",2,"102100110904",4,3,,,,31,32,1,1,5,20,720000,120000,160000,200000,,0,1200000,2,,2,
"1021001109","102100110908",2,"102100110904",1,2,96,11,,,,,,,,,,,,,,,,,,
"1021001109","102100110904",1,,4,3,,,,34,35,2,2,,,1800000,190000,270000,0,0,380000,2640000,2,,,
"1021001109","102100110907",2,"102100110904",4,3,,,,12,13,2,1,1,10,252000,0,36000,0,,50000,338000,2,,2,
"1021001109","102100110901",2,"102100110904",1,2,,13,3,,,,,,,,,,,,,,,,,
"1021001109","102100110906",2,"102100110904",4,3,,,,16,30,2,2,,,640000,60000,120000,0,0,100000,920000,2,,,
"1021001109","102100110911",2,"102100110904",1,1,1,,,,,,,,,,,,,,,,,,,
"1021001109","102100110912",2,"102100110904",1,2,,14,3,,,,,,,,,,,,,,,,,
"1021001109","102100110909",2,"102100110904",4,2,,41,1,,,,,,,,,,,,,,,,,
"1021001109","102100110910",2,"102100110904",4,3,,,,15,16,1,1,2,30,120000,0,21000,0,,50000,191000,1,1,2,
"102100110901","1021001109010",1,,4,2,,15,3,,,,,,,,,,,,,,,,,
"102100110901","10210011090102",2,"1021001109010",4,2,,34,3,,,,,,,,,,,,,,,,,
"102100110901","10210011090105",2,"1021001109010",4,3,,,,12,13,2,2,,,690000,0,60000,12000,0,120000,882000,2,,,
"102100110901","10210011090110",1,,4,2,,33,3,,,,,,,,,,,,,,,,,
"102100110904","10210011090402",1,,4,2,,32,13,,,,,,,,,,,,,,,,,
"102100110904","10210011090404",2,"1021001109040",,,,,,,,,,,,,,,,,,,,,,
"102100110904","1021001109040",1,,4,2,,35,13,,,,,,,,,,,,,,,,,
"1021001110","102100111001",1,,4,2,,16,3,,,,,,,,,,,,,,,,,
"1021001205","102100120511",2,"102100120501",4,2,,16,3,,,,,,,,,,,,,,,,,
"1021001205","102100120521",2,"102100120501",1,2,,14,3,,,,,,,,,,,,,,,,,
"1021001205","102100120512",2,"102100120501",1,3,,,,11,12,2,3,,,0,0,15000,18000,0,10000,43000,1,6,,
"1021001205","102100120510",2,"102100120501",1,1,10,,,,,,,,,,,,,,,,,,,
"1021001205","102100120502",2,"102100120501",4,2,,16,3,,,,,,,,,,,,,,,,,
"1021001205","102100120506",2,"102100120501",1,3,,,,1,10,2,1,0,20,0,10000,2000,0,,0,12000,1,2,3,
"1021001205","102100120505",2,"102100120501",1,3,,,,1,10,2,1,0,20,0,0,4000,0,,0,4000,1,2,3,
"1021001205","102100120503",2,"102100120501",4,3,,,,14,15,2,3,,,0,0,30000,18000,0,15000,45000,1,2,,
"1021001205","102100120501",1,,1,2,,17,3,,,,,,,,,,,,,,,,,
"1021001205","102100120507",2,"102100120501",1,3,,,,1,10,3,1,0,60,0,0,3000,0,,0,3000,1,2,3,
"1021001205","102100120504",2,"102100120501",1,2,,13,3,,,,,,,,,,,,,,,,,
"1021001206","102100120603",2,"102100120601",4,3,,,,11,12,2,1,1,10,150000,5000,22000,0,,30000,207000,2,,3,
"1021001206","102100120602",2,"102100120601",4,3,,,,13,14,1,1,2,30,114000,12000,20000,0,,32000,178000,1,1,2,
"1021001206","102100120604",2,"102100120601",4,2,,99,96,,,,,,,,,,,,,,,,,
"1021001206","102100120601",1,,4,2,,34,3,,,,,,,,,,,,,,,,,
"1021001208","102100120804",2,"102100120802",1,3,,,,1,10,2,1,0,10,0,0,0,0,,0,,1,6,3,
"1021001208","102100120802",1,,4,2,,32,3,,,,,,,,,,,,,,,,,
"1021001208","102100120801",2,"102100120802",4,2,,35,3,,,,,,,,,,,,,,,,,
"1021001210","102100121002",1,,4,2,,32,12,,,,,,,,,,,,,,,,,
"1021001210","102100121003",2,"102100121002",4,3,,,,15,16,2,3,,,840000,0,100000,0,0,0,940000,2,,,
"1021001210","102100121005",2,"102100121002",4,3,,,,15,16,2,3,0,0,1050000,0,150000,0,0,0,1200000,2,,,
"1021001210","102100121001",2,"102100121002",4,2,,99,3,,,,,,,,,,,,,,,,,
"1021001211","102100121101",1,,4,2,,31,10,,,,,,,,,,,,,,,,,
"1021001211","102100121102",2,"102100121101",4,2,,34,3,,,,,,,,,,,,,,,,,
"1021001301","102100130102",2,"102100130105",4,3,,,,61,61,2,3,0,0,0,0,0,0,0,0,,2,,,
"1021001301","102100130101",2,"102100130105",4,2,,41,10,,,,,,,,,,,,,,,,,
"1021001301","102100130106",1,,4,2,,32,3,,,,,,,,,,,,,,,,,
"1021001301","102100130105",1,,4,2,,31,3,,,,,,,,,,,,,,,,,
"1021001302","102100130201",2,"102100130206",4,2,,34,9,,,,,,,,,,,,,,,,,
"1021001302","102100130206",1,,4,2,,16,3,,,,,,,,,,,,,,,,,
"1021001302","102100130207",1,,4,2,,31,3,,,,,,,,,,,,,,,,,
"1021001304","102100130401",1,,4,2,,41,3,,,,,,,,,,,,,,,,,
"1021001304","102100130403",2,"102100130401",4,3,,,,32,33,2,2,,,900000,30000,40000,30000,0,100000,1150000,2,,,
"1021001304","102100130404",2,"102100130401",4,3,,,,15,16,2,1,0,10,300000,0,50000,0,,36000,386000,2,,2,
"1021001304","102100130407",2,"102100130401",1,1,10,,,,,,,,,,,,,,,,,,,
"1021001304","102100130405",2,"102100130401",4,3,,,,14,15,2,1,0,10,300000,0,50000,0,,36000,386000,2,,2,
"1021001304","102100130406",2,"102100130401",4,3,,,,13,14,2,1,0,10,300000,0,50000,0,,36000,386000,2,,2,
"1021001304","102100130402",1,,4,2,,31,3,,,,,,,,,,,,,,,,,
"1021001305","102100130503",2,"102100130501",4,2,,34,3,,,,,,,,,,,,,,,,,
"1021001305","102100130501",1,,4,2,,34,3,,,,,,,,,,,,,,,,,
"1021001305","102100130502",2,"102100130501",4,2,,36,3,,,,,,,,,,,,,,,,,
"1021001306","102100130602",2,"102100130601",4,3,,,,34,35,2,2,,,500000,0,82000,90000,0,90000,762000,2,,,
"1021001306","102100130603",2,"102100130601",4,3,,,,35,50,1,1,4,45,840000,0,40000,180000,,70000,1130000,2,,3,
"1021001306","102100130601",1,,4,2,,51,3,,,,,,,,,,,,,,,,,
"1021001306","102100130605",2,"102100130601",4,3,,,,11,12,2,1,0,15,240000,15000,21000,0,,30000,306000,2,,3,
"1021001306","102100130604",2,"102100130601",4,3,,,,32,33,1,1,2,30,720000,20000,52000,0,,0,792000,2,,2,
"1021001307","102100130705",2,"102100130703",4,3,,,,12,13,2,1,1,20,240000,25000,30000,0,,15000,310000,1,1,2,
"1021001307","102100130704",1,,4,3,,,,32,33,2,2,,,900000,40000,40000,60000,0,100000,1140000,2,,,
"1021001307","102100130703",1,,4,3,,,,33,34,2,2,,,1100000,40000,40000,60000,0,100000,1340000,2,,,
"1021001307","102100130701",2,"102100130703",4,2,,34,3,,,,,,,,,,,,,,,,,
"1021001307","102100130706",2,"102100130703",4,3,,,,1,10,2,1,1,20,240000,15000,15000,0,,10000,280000,1,1,3,
"1021001307","102100130702",2,"102100130703",4,3,,,,61,61,1,2,,,1600000,0,40000,45000,600000,100000,2385000,2,,,
"1021001308","102100130804",2,"102100130802",1,3,,,,11,11,2,1,0,3,111000,8000,8000,0,,40000,167000,2,,2,
"1021001308","102100130802",1,,4,2,,14,3,,,,,,,,,,,,,,,,,
"1021001308","102100130803",2,"102100130802",4,3,,,,12,12,2,1,0,3,141000,8000,12000,0,,40000,201000,2,,2,
"1021001308","102100130801",2,"102100130802",4,2,,15,3,,,,,,,,,,,,,,,,,
"1021001309","102100130901",1,,2,2,1,13,,,,,,,,,,,,,,,,,,
"1021001402","102100140201",1,,1,1,8,,,,,,,,,,,,,,,,,,,
"1021001402","102100140205",2,"102100140201",4,3,,,,12,13,2,3,0,15,0,0,0,0,0,0,,2,,,
"1021001402","102100140206",2,"102100140201",4,2,,16,3,,,,,,,,,,,,,,,,,
"102100140202","1021001402020",1,,4,2,,32,13,,,,,,,,,,,,,,,,,
