"year","HHID","PID","h4q1","h4q2","h4q3","h4q4","h4q5","h4q6","h4q7","h4q8","h4q9","h4q10","h4q11","h4q12","h4q13","h4q14","h4q15a","h4q15b","h4q15c","h4q15d","h4q15e","h4q15f","h4q15g","h4q16","h4q17","h4q18"
2009,"1021000113","102100011305",5,2,1,4,3,,,,15,16,2,2,,,1300000,0,76500,90000,0,210000,1676500,2,,
2009,"1021000113","102100011306",6,2,1,4,3,,,,12,13,2,2,,,1200000,20000,61500,0,0,210000,1491500,2,,
2009,"1021000113","102100011308",8,2,1,4,3,,,,32,33,2,2,,,750000,15000,90000,30000,0,75000,960000,2,,
2009,"1021000113","102100011309",9,1,,4,2,,14,3,,,,,,,,,,,,,,,,
2009,"1021000201","102100020101",1,2,2,4,2,,17,3,,,,,,,,,,,,,,,,
2009,"1021000201","102100020102",2,1,,4,2,,17,13,,,,,,,,,,,,,,,,
2009,"1021000201","102100020103",3,2,2,4,3,,,,16,17,1,1,0.5,10,67200,6500,15000,0,0,12000,100700,1,1,1
2009,"1021000201","102100020104",4,2,2,4,3,,,,13,14,1,1,0.5,10,67200,6500,7000,0,0,12000,92700,1,1,1
2009,"1021000201","102100020105",5,2,2,4,2,,13,10,,,,,,,,,,,,,,,,
2009,"1021000202","102100020201",1,1,,4,2,,15,3,,,,,,,,,,,,,,,,
2009,"1021000202","102100020202",2,2,1,4,3,,,,30,16,2,2,,,600000,15000,210000,15000,0,150000,990000,2,,
2009,"1021000202","102100020203",3,2,1,4,3,,,,15,16,2,3,,,750000,30000,180000,15000,0,90000,1065000,2,,
2009,"1021000203","102100020301",1,1,,4,2,,14,3,,,,,,,,,,,,,,,,
2009,"1021000203","102100020302",2,2,2,4,2,,13,3,,,,,,,,,,,,,,,,
2009,"1021000203","102100020303",3,1,,4,2,,17,3,,,,,,,,,,,,,,,,
2009,"1021000203","102100020304",4,2,2,4,2,,14,3,,,,,,,,,,,,,,,,
2009,"102100020304","10210002030401",1,2,2,4,2,,99,96,,,,,,,,,,,,,,,,
2009,"102100020304","10210002030403",3,2,2,3,1,8,,,,,,,,,,,,,,,,,,
2009,"1021000203","102100020305",5,2,2,4,3,,,,33,34,2,2,,,900000,25000,120000,0,0,150000,1195000,2,,
2009,"1021000203","102100020306",6,1,,4,3,,,,15,16,2,3,0.5,12,0,0,0,0,0,0,,2,,3
2009,"1021000203","102100020307",7,2,3,4,3,,,,15,16,2,3,1,25,0,0,0,0,0,0,,2,,3
2009,"1021000203","102100020309",9,2,3,1,3,,,,1,1,2,3,,,30000,0,1000,0,0,0,31000,2,,3
2009,"1021000207","102100020701",1,2,2,4,2,,14,3,,,,,,,,,,,,,,,,
2009,"1021000207","102100020702",2,1,,4,1,1,,,,,,,,,,,,,,,,,,
2009,"1021000207","102100020703",3,2,2,4,3,,,,14,15,4,1,1.5,45,165000,35000,60000,90000,0,0,350000,1,3,3
2009,"1021000207","102100020704",4,2,2,4,3,,,,34,34,2,2,,,1110000,0,50000,0,0,210000,1370000,2,,
2009,"1021000209","102100020901",1,1,,1,2,,12,3,,,,,,,,,,,,,,,,
2009,"1021000210","102100021001",1,1,,4,2,,14,3,,,,,,,,,,,,,,,,
2009,"1021000212","102100021201",1,1,,4,2,,16,3,,,,,,,,,,,,,,,,
2009,"1021000212","102100021202",2,2,1,4,2,,15,3,,,,,,,,,,,,,,,,
2009,"1021000212","102100021203",3,1,,4,2,,16,3,,,,,,,,,,,,,,,,
2009,"1021000213","102100021301",1,1,,4,2,,36,5,,,,,,,,,,,,,,,,
2009,"1021000213","102100021302",2,2,1,4,2,,32,3,,,,,,,,,,,,,,,,
2009,"1021000213","102100021303",3,2,1,4,3,,,,51,50,2,2,,,0,0,0,0,0,0,3000000,2,,
2009,"1021000213","102100021304",4,2,1,4,3,,,,51,50,1,2,,,0,0,0,0,0,0,2500000,2,,
2009,"1021000213","102100021305",5,2,1,4,3,,,,61,60,1,2,,,0,0,0,0,0,0,2500000,2,,
2009,"1021000213","102100021306",6,2,1,4,3,,,,31,32,1,1,2,40,600000,30000,150000,0,0,90000,870000,2,,2
2009,"1021000213","102100021307",7,2,1,4,2,,13,3,,,,,,,,,,,,,,,,
2009,"1021000213","102100021308",8,2,1,4,2,,32,13,,,,,,,,,,,,,,,,
2009,"1021000213","102100021309",9,2,1,1,1,10,,,,,,,,,,,,,,,,,,
2009,"1021000213","102100021311",11,2,1,4,3,,,,13,14,2,1,1.2,20,300000,15000,60000,0,0,150000,525000,2,,2
2009,"1021000303","102100030301",1,1,,4,2,,61,1,,,,,,,1500000,0,200000,0,0,0,1700000,2,,3
2009,"1021000310","102100031001",1,1,,4,2,,36,96,,,,,,,,,,,,,,,,
2009,"1021000312","102100031201",1,1,,4,2,,14,9,,,,,,,,,,,,,,,,
2009,"1021000312","102100031202",2,2,1,4,3,,,,12,13,2,2,,,750000,45000,31000,0,0,150000,976000,2,,
2009,"1021000313","102100031301",1,1,,4,2,,51,3,,,,,,,,,,,,,,,,
2009,"1021000401","102100040101",1,1,,4,2,,17,12,,,,,,,,,,,,,,,,
2009,"1021000402","102100040201",1,1,,4,2,,16,3,,,,,,,,,,,,,,,,
2009,"1021000402","102100040202",2,2,1,4,2,,14,3,,,,,,,,,,,,,,,,
2009,"1021000402","102100040203",3,2,1,1,2,,12,3,,,,,,,,,,,,,,,,
2009,"1021000405","102100040501",1,2,2,4,2,,34,3,,,,,,,,,,,,,,,,
2009,"1021000405","102100040502",2,1,,4,2,,32,3,,,,,,,,,,,,,,,,
2009,"102100040502","10210004050202",2,2,1,4,3,,,,1,10,2,1,0.5,10,0,0,0,0,0,0,,2,,2
2009,"102100040502","10210004050205",5,2,1,4,3,,,,30,31,2,1,2,20,180000,20000,137100,0,0,90000,427100,2,,2
2009,"102100040504","10210004050401",1,1,,1,2,,13,3,,,,,,,,,,,,,,,,
2009,"1021000406","102100040601",1,1,,2,2,,13,96,,,,,,,,,,,,,,,,
2009,"1021000406","102100040602",2,2,1,1,2,,14,3,,,,,,,,,,,,,,,,
2009,"1021000406","102100040603",3,2,1,1,3,,,,12,13,2,2,,,600000,45000,18900,18000,0,120000,801900,2,,
2009,"1021000406","102100040604",4,2,1,1,3,,,,11,12,2,2,,,600000,45000,24300,18000,0,120000,807300,2,,
2009,"102100040606","10210004060601",1,1,,4,2,,15,9,,,,,,,,,,,,,,,,
2009,"1021000408","102100040801",1,2,2,4,1,9,,,,,,,,,,,,,,,,,,
2009,"1021000408","102100040802",2,1,,4,2,,11,96,,,,,,,,,,,,,,,,
2009,"1021000408","102100040803",3,1,,4,2,,17,3,,,,,,,,,,,,,,,,
2009,"1021000408","102100040804",4,1,,4,2,,17,3,,,,,,,,,,,,,,,,
2009,"1021000408","102100040805",5,2,4,4,3,,,,13,14,1,1,2.5,45,31200,0,20000,0,0,7500,58700,1,1,2
2009,"1021000408","102100040806",6,2,4,3,3,,,,13,13,1,1,2.5,45,28000,0,15000,0,0,0,43000,1,1,2
2009,"1021000409","102100040901",1,1,,4,2,,32,3,,,,,,,,,,,,,,,,
2009,"1021000409","102100040902",2,2,1,4,3,,,,15,16,1,1,1.5,30,120000,0,15000,0,0,20000,155000,1,1,3
2009,"1021000501","102100050101",1,1,,4,2,,36,3,,,,,,,,,,,,,,,,
2009,"1021000503","102100050301",1,1,,4,2,,14,3,,,,,,,,,,,,,,,,
2009,"1021000504","102100050401",1,1,,2,2,,12,9,,,,,,,,,,,,,,,,
2009,"1021000504","102100050402",2,2,1,4,3,,,,32,33,1,2,,0,,,,,,,1500000,2,,2
2009,"1021000504","102100050403",3,1,,4,2,,14,3,,,,,,,,,,,,,,,,
2009,"1021000504","102100050404",4,2,1,4,3,,,,13,14,2,1,1,15,180000,15000,16000,0,,18000,229000,2,,3
2009,"1021000506","102100050601",1,2,2,4,2,,34,9,,,,,,,,,,,,,,,,
2009,"1021000506","102100050602",2,1,,1,2,,13,3,,,,,,,,,,,,,,,,
2009,"1021000506","102100050603",3,2,2,4,3,,,,30,31,1,2,,,1620000,50000,136600,0,,0,1806600,2,,
2009,"1021000506","102100050604",4,2,2,4,3,,,,14,15,1,2,,,660000,0,36600,0,0,0,696600,2,,
2009,"1021000506","102100050605",5,2,2,1,1,10,,,,,,,,,,,,,,,,,,
2009,"1021000604","102100060401",1,2,2,4,2,,34,96,,,,,,,,,,,,,,,,
2009,"1021000604","102100060402",2,1,,4,2,,32,3,,,,,,,,,,,,,,,,
2009,"1021000604","102100060403",3,1,,4,3,,,,30,31,2,2,,,0,30000,90000,120000,0,180000,420000,2,,2
2009,"1021000604","102100060404",4,2,2,4,3,,,,30,31,2,2,,,0,30000,90000,15000,0,180000,315000,2,,2
2009,"1021000604","102100060405",5,2,2,4,3,,,,13,14,2,3,0.8,20,180000,0,30000,0,0,45000,255000,2,,2
2009,"1021000604","102100060406",6,2,2,4,3,,,,12,13,2,3,0.8,20,180000,15000,30000,0,0,45000,270000,2,,2
2009,"1021000604","102100060407",7,2,2,4,3,,,,10,11,2,3,0.8,20,240000,40000,24000,0,0,90000,394000,2,,2
2009,"1021000607","102100060701",1,1,,4,2,,32,13,,,,,,,,,,,,,,,,
2009,"1021000607","102100060702",2,2,1,4,3,,,,61,60,1,3,8,45,0,0,0,0,0,0,2500000,2,,3
2009,"1021000607","102100060703",3,2,1,4,2,,61,1,,,,,,,,,,,,,,,,
2009,"1021000607","102100060704",4,2,1,4,3,,,,61,,2,3,4,90,0,0,0,0,0,0,1800000,2,,3
2009,"1021000607","102100060705",5,2,1,4,3,,,,51,60,2,1,7,60,0,0,0,0,0,0,1200000,2,,3
2009,"1021000607","102100060706",6,2,1,4,3,,,,35,35,1,3,,,0,0,0,0,0,0,400000,,,
2009,"1021000607","102100060707",7,2,1,4,3,,,,35,35,1,3,,,0,0,0,0,0,0,400000,,,
2009,"1021000607","102100060708",8,2,1,4,3,,,,35,40,2,1,6,40,0,0,0,0,0,0,400000,2,,3
2009,"1021000607","102100060709",9,2,1,4,3,,,,35,35,1,2,,,0,,,,,0,,,,
2009,"1021000607","102100060710",10,2,1,4,3,,,,14,15,2,1,2,30,0,0,0,0,0,0,,2,,2
2009,"1021000608","102100060801",1,1,,4,2,,31,3,,,,,,,,,,,,,,,,
2009,"1021000608","102100060802",2,2,1,4,2,,32,3,,,,,,,,,,,,,,,,
2009,"1021000610","102100061001",1,2,2,4,2,,32,3,,,,,,,,,,,,,,,,
2009,"1021000610","102100061002",2,1,,4,2,,15,3,,,,,,,,,,,,,,,,
2009,"1021000610","102100061003",3,2,2,4,3,,,,34,35,1,1,9.6,60,540000,40000,150000,180000,0,60000,970000,2,,2
2009,"1021000610","102100061004",4,2,2,4,3,,,,31,32,1,1,9.6,60,375000,30000,90000,180000,0,60000,735000,2,,2
2009,"1021000610","102100061005",5,2,2,4,3,,,,15,16,1,1,8,0,240000,15000,45000,180000,0,0,480000,2,,2
2009,"1021000610","102100061006",6,2,2,4,3,,,,16,30,2,1,1.6,20,540000,15000,45000,180000,0,0,780000,2,,2
2009,"1021000610","102100061007",7,2,2,4,3,,,,12,13,1,1,1.6,20,105000,12000,21000,0,0,30000,168000,1,1,2
2009,"1021000612","102100061201",1,2,3,4,2,,22,3,,,,,,,,,,,,,,,,
2009,"1021000612","102100061202",2,2,3,4,2,,31,3,,,,,,,,,,,,,,,,
2009,"1021000612","102100061203",3,1,,4,2,,61,1,,,,,,,,,,,,,,,,
2009,"1021000612","102100061204",4,2,3,4,3,,,,61,60,1,3,6,60,2000000,0,90000,129600,0,12000,2231600,2,,3
2009,"1021000612","102100061205",5,2,3,4,3,,,,35,60,1,1,8,90,420000,30000,30000,90000,0,0,570000,2,,2
2009,"1021000612","102100061206",6,2,3,4,3,,,,34,35,1,1,5,60,450000,30000,60000,150000,0,0,690000,2,,2
2009,"1021000612","102100061207",7,2,3,4,3,,,,34,35,2,2,,,0,45000,60000,30000,0,110000,245000,2,,2
2009,"1021000612","102100061208",8,2,3,4,3,,,,34,35,2,2,,,0,45000,60000,30000,0,110000,245000,2,,2
2009,"1021000701","102100070101",1,1,,4,3,,,,61,60,1,3,6,30,3600000,0,600000,540000,0,900000,5640000,1,2,3
2009,"1021000701","102100070102",2,2,1,4,2,,61,3,,,,,,,,,,,,,,,,
2009,"1021000701","102100070104",4,1,,1,1,1,,,,,,,,,,,,,,,,,,
2009,"1021000701","102100070105",5,1,,1,2,,13,3,,,,,,,,,,,,,,,,
2009,"1021000702","102100070201",1,1,,4,2,,16,11,,,,,,,,,,,,,,,,
2009,"1021000702","102100070202",2,2,1,1,2,,13,11,,,,,,,,,,,,,,,,
2009,"1021000702","102100070203",3,2,1,1,3,,,,10,11,2,1,0.3,10,189000,10000,18000,,,90000,274000,2,,3
2009,"1021000703","102100070301",1,2,2,4,2,,34,3,,,,,,,,,,,,,,,,
2009,"1021000703","102100070302",2,1,,4,3,,,,51,,2,1,12.8,30,600000,0,50000,160000,0,100000,910000,2,,3
2009,"1021000703","102100070303",3,2,2,4,3,,,,34,35,1,2,,,0,0,0,0,0,180000,180000,1,3,
2009,"1021000705","102100070501",1,1,,4,2,,32,3,,,,,,,,,,,,,,,,
2009,"1021000705","102100070502",2,1,,4,2,,17,3,,,,,,,,,,,,,,,,
2009,"1021000709","102100070901",1,2,2,4,2,,17,3,,,,,,,,,,,,,,,,
2009,"1021000709","102100070902",2,1,,4,2,,16,12,,,,,,,,,,,,,,,,
2009,"1021000709","102100070903",3,2,2,4,3,,,,30,31,2,2,,,550000,0,30000,15000,150000,90000,835000,2,,
2009,"1021000709","102100070904",4,2,2,4,3,,,,13,14,2,1,2,30,280000,15000,15000,0,0,36000,346000,2,,3
2009,"1021000709","102100070905",5,2,2,4,3,,,,12,13,2,1,2,30,280000,15000,10000,0,0,36000,341000,2,,3
2009,"1021000709","102100070906",6,2,2,4,3,,,,13,14,2,1,2.5,40,880000,20000,20000,0,0,36000,956000,2,,1
2009,"1021000709","102100070907",7,2,2,4,3,,,,10,11,1,1,4,15,160000,20000,50000,100000,0,36000,366000,2,,3
2009,"1021000709","102100070908",8,2,2,4,3,,,,1,10,2,1,2,30,220000,15000,10000,0,0,36000,281000,2,,3
2009,"1021000710","102100071001",1,1,,4,2,,51,1,,,,,,,,,,,,,,,,
2009,"1021000710","102100071002",2,2,1,4,2,,61,1,,,,,,,,,,,,,,,,
2009,"1021000710","102100071003",3,2,1,4,2,,51,1,,,,,,,,,,,,,,,,
2009,"1021000710","102100071004",4,2,1,4,2,,61,1,,,,,,,,,,,,,,,,
2009,"1021000710","102100071005",5,2,1,4,2,,51,1,,,,,,,,,,,,,,,,
2009,"1021000710","102100071006",6,2,1,4,3,,,,36,60,1,3,,,0,0,0,0,0,0,2000000,2,,
2009,"1021000710","102100071007",7,2,1,4,3,,,,32,33,1,2,,,0,0,0,0,0,0,1200000,2,,
2009,"1021000710","102100071008",8,2,1,4,2,,15,3,,,,,,,,,,,,,,,,
2009,"1021000710","102100071009",9,2,1,4,2,,16,3,,,,,,,,,,,,,,,,
2009,"1021000710","102100071010",10,2,1,4,3,,,,15,16,2,1,0.5,10,0,0,0,0,0,0,210000,2,,2
2009,"1021000710","102100071011",11,2,1,4,3,,,,15,16,2,1,0.5,10,0,0,0,0,0,0,210000,2,,2
2009,"1021000710","102100071012",12,2,1,1,2,,16,3,,,,,,,,,,,,,,,,
2009,"1021000710","102100071013",13,2,1,4,2,,17,3,,,,,,,,,,,,,,,,
2009,"1021000711","102100071101",1,2,2,4,2,,34,3,,,,,,,,,,,,,,,,
2009,"1021000711","102100071102",2,1,,4,2,,16,3,,,,,,,,,,,,,,,,
2009,"1021000711","102100071103",3,2,2,4,3,,,,16,30,2,2,,,760000,20000,30000,12000,0,40000,862000,2,,
2009,"1021000711","102100071104",4,2,2,4,3,,,,13,14,2,1,2,30,390000,0,30000,0,0,5000,425000,2,,2
2009,"1021000711","102100071105",5,2,2,4,3,,,,1,10,2,1,2,30,300000,15000,0,0,0,5000,320000,2,,2
2009,"1021000802","102100080201",1,1,,4,2,,51,1,,,,,,,,,,,,,,,,
2009,"1021000802","102100080202",2,2,1,4,2,,61,1,,,,,,,,,,,,,,,,
2009,"1021000803","102100080301",1,1,,4,2,,14,3,,,,,,,,,,,,,,,,
2009,"1021000805","102100080501",1,1,,4,2,,51,3,,,,,,,,,,,,,,,,
2009,"1021000805","102100080502",2,2,1,4,2,,16,3,,,,,,,,,,,,,,,,
2009,"1021000807","102100080701",1,1,,4,2,,36,3,,,,,,,,,,,,,,,,
2009,"1021000807","102100080702",2,2,1,4,3,,,,61,60,1,1,3.2,35,1700000,0,300000,84000,0,192000,2276000,2,,3
2009,"1021000808","102100080801",1,1,,4,2,,61,1,,,,,,,,,,,,,,,,
2009,"1021000808","102100080802",2,2,1,4,2,,34,3,,,,,,,,,,,,,,,,
2009,"1021000808","102100080803",3,1,,4,3,,,,33,34,1,3,,,540000,0,60000,0,0,90000,690000,2,,2
2009,"102100080803","10210008080301",1,1,,4,2,,33,3,,,,,,,,,,,,,,,,
2009,"102100080803","10210008080303",3,2,1,4,3,,,,31,31,1,1,1,20,0,15000,15000,0,0,60000,90000,1,1,2
2009,"102100080803","10210008080304",4,2,1,4,3,,,,16,16,1,1,3,60,15000,5000,13500,0,0,6000,39500,1,1,2
2009,"1021000809","102100080901",1,2,2,4,2,,61,1,,,,,,,,,,,,,,,,
2009,"1021000809","102100080902",2,1,,4,2,,36,3,,,,,,,,,,,,,,,,
2009,"1021000810","102100081001",1,2,2,1,1,3,,,,,,,,,,,,,,,,,,
2009,"1021000810","102100081002",2,1,,4,2,,22,12,,,,,,,,,,,,,,,,
2009,"1021000811","102100081101",1,2,2,4,2,,14,3,,,,,,,,,,,,,,,,
2009,"1021000811","102100081102",2,1,,1,1,1,,,,,,,,,,,,,,,,,,
2009,"1021000811","102100081103",3,2,2,4,3,,,,12,13,2,1,2,1,330000,10000,12500,0,0,36000,381500,2,,2
2009,"1021000811","102100081104",4,2,2,4,3,,,,10,11,2,1,0.5,10,180000,10000,4100,0,0,6000,200100,2,,2
2009,"1021000904","102100090401",1,2,2,4,2,,32,3,,,,,,,,,,,,,,,,
2009,"1021000904","102100090402",2,1,,4,2,,31,3,,,,,,,,,,,,,,,,
2009,"1021000904","102100090403",3,2,2,4,3,,,,17,30,2,1,1.6,40,440000,60000,47600,0,0,20000,567900,2,,2
2009,"1021000904","102100090404",4,2,2,4,3,,,,14,14,2,1,1.6,20,310000,20000,19500,0,0,0,349500,2,,2
2009,"1021000904","102100090406",6,2,2,4,2,,17,3,,,,,,,,,,,,,,,,
2009,"1021000906","102100090601",1,2,2,4,2,,17,3,,,,,,,,,,,,,,,,
2009,"1021000906","102100090602",2,1,,4,2,,31,3,,,,,,,,,,,,,,,,
2009,"1021000909","102100090901",1,1,,4,2,,33,3,,,,,,,,,,,,,,,,
2009,"1021000909","102100090902",2,1,,4,2,,61,3,,,,,,,,,,,,,,,,
2009,"1021001003","102100100301",1,1,,4,2,,31,3,,,,,,,,,,,,,,,,
2009,"1021001003","102100100302",2,2,1,4,3,,,,16,30,2,3,,,1230000,0,120000,25000,,120000,495000,1,4,1
2009,"1021001003","102100100303",3,2,1,4,3,,,,15,16,2,3,,,660000,45000,70000,60000,,180000,1015000,2,,2
2009,"1021001003","102100100304",4,2,1,4,3,,,,14,15,2,3,1.5,20,570000,150000,81000,0,0,30000,696000,2,,2
2009,"1021001003","102100100305",5,2,1,4,3,,,,11,12,2,3,1.5,20,540000,15000,15000,0,0,30000,600000,2,,2
2009,"1021001003","102100100306",6,2,1,4,3,,,,10,10,2,3,1.5,25,48000,15000,15000,0,0,20000,530000,2,,2
2009,"1021001003","102100100307",7,2,1,4,1,10,,,,,,,,,,,,,,,,,,
2009,"1021001003","102100100308",8,2,1,4,3,,,,1,10,2,3,1.5,25,120000,15000,5000,0,0,25000,165000,2,,2
2009,"1021001004","102100100401",1,2,2,4,2,,99,96,,,,,,,,,,,,,,,,
2009,"1021001004","102100100402",2,1,,1,2,,15,3,,,,,,,,,,,,,,,,
2009,"1021001004","102100100403",3,1,,4,3,,,,10,11,2,1,3,25,150000,25000,450000,0,0,10000,230000,2,,3
2009,"1021001004","102100100404",4,2,2,1,3,,,,1,1,2,1,0.3,25,135000,20000,15000,0,0,10000,180000,2,,3
2009,"1021001005","102100100501",1,1,,4,2,,41,3,,,,,,,,,,,,,,,,
2009,"1021001005","102100100502",2,1,,1,2,,13,3,,,,,,,,,,,,,,,,
2009,"1021001005","102100100503",3,2,2,1,2,,12,3,,,,,,,,,,,,,,,,
2009,"1021001005","102100100504",4,2,1,1,3,,,,11,12,2,1,0.6,10,,4500,0,0,0,,214500,2,,3
2009,"1021001005","102100100505",5,2,1,1,1,10,,,,,,,,,,,,,,,,,,
2009,"1021001007","102100100701",1,2,2,4,2,,61,1,,,,,,,,,,,,,,,,
2009,"1021001007","102100100702",2,1,,4,2,,16,3,,,,,,,,,,,,,,,,
2009,"1021001007","102100100703",3,2,2,4,3,,,,11,12,1,1,0.5,15,330000,18000,27900,0,0,90000,465900,2,,2
2009,"1021001007","102100100704",4,2,2,4,3,,,,12,13,1,1,0.5,15,330000,20000,27900,0,0,90000,3467900,2,,2
2009,"1021001007","102100100705",5,2,2,4,3,,,,1,10,1,1,0.5,15,300000,18000,10000,0,0,90000,418000,2,,2
2009,"1021001008","102100100801",1,1,,4,2,,15,3,,,,,,,,,,,,,,,,
2009,"1021001008","102100100802",2,2,1,4,3,,,,14,15,2,1,0.5,10,,,,,,,261000,2,,2
2009,"1021001008","102100100803",3,2,1,4,3,,,,13,14,2,1,0.5,10,,,,,,,216000,2,,2
2009,"1021001009","102100100901",1,2,2,4,2,,61,1,,,,,,,,,,,,,,,,
2009,"1021001009","102100100902",2,1,,4,3,,,,33,34,1,1,1.2,30,,,,,,,990000,2,,1
2009,"1021001011","102100101101",1,1,,4,2,,33,3,,,,,,,,,,,,,,,,
2009,"1021001011","102100101102",2,2,1,4,3,,,,34,34,4,3,,,0,15000,150000,18000,350000,150000,623000,1,6,
2009,"1021001011","102100101103",3,2,1,4,3,,,,15,15,2,3,,,0,0,120000,10000,300000,150000,580000,1,6,
2009,"1021001102","102100110201",1,1,,4,2,,36,3,,,,,,,,,,,,,,,,
2009,"102100110201","10210011020102",2,1,,4,2,,17,3,,,,,,,,,,,,,,,,
2009,"102100110201","10210011020105",5,2,2,1,1,10,,,,,,,,,,,,,,,,,,
