"year","HHID","h15bq2","h15bq3b","h15bq3c","h15bq4","h15bq5","h15bq6","h15bq7","h15bq8","h15bq9","h15bq10","h15bq11","h15bq12","h15bq13"
2009,"1021000102",125,7,3,14,11200,,,,,,,800,
2009,"1021000102",127,7,4,14,2800,,,,,,,200,
2009,"1021000102",101,1,67,2,20000,,,,,,,10000,
2009,"1021000102",114,7,41,7,17500,,,,,,,2500,
2009,"1021000102",110,1,1,0.5,1200,,,,,,,2400,
2009,"1021000102",150,7,54,1,250,,,,,,,250,
2009,"1021000102",121,1,85,1,5000,,,,,,,5000,
2009,"1021000102",117,7,1,3.5,17500,,,,,,,5000,
2009,"1021000108",136,7,64,2,2000,,,,,,,1000,
2009,"1021000108",150,7,54,0.25,125,,,,,,,500,
2009,"1021000108",147,7,1,1,2400,,,,,,,2400,
2009,"1021000108",141,4,1,2,2200,,,,,,,1100,
2009,"1021000108",125,7,3,7,11200,,,,,,,1600,
2009,"1021000108",135,7,64,1,500,,,,,,,500,
2009,"1021000108",102,4,68,1,10000,,,,,,,10000,
2009,"1021000108",113,2,1,4,5600,,,,,,,1400,
2009,"1021000108",109,1,64,1,1000,,,,,,,1000,
2009,"1021000108",105,4,20,1,6000,,,,,,,6000,
2009,"1021000108",149,7,54,2,200,,,,,,,100,
2009,"1021000108",139,2,66,2,1000,,,,,,,500,
2009,"1021000108",127,7,31,1,1000,,,,,,,1000,
2009,"1021000108",144,3,32,,,,,,,2,2000,,1000
2009,"1021000108",114,7,44,35,7000,,,,,,,200,
2009,"1021000108",153,7,24,7,2800,,,,,,,400,
2009,"1021000109",122,2,55,8,8000,,,,,,,1000,
2009,"1021000109",151,1,26,5,3500,,,,,,,700,
2009,"1021000109",149,7,54,1,100,,,,,,,100,
2009,"1021000109",115,1,1,0.5,900,,,,,,,1800,
2009,"1021000109",110,4,1,1,2200,,,,,,,2200,
2009,"1021000109",137,3,85,3,900,,,,,,,300,
2009,"1021000109",148,7,54,4,200,,,,,,,50,
2009,"1021000109",127,7,26,1,1500,,,,,,,1500,
2009,"1021000109",117,3,1,2,10000,,,,,,,5000,
2009,"1021000109",129,1,53,1,500,,,,,,,500,
2009,"1021000109",150,7,51,1,500,,,,,,,500,
2009,"1021000109",123,1,55,1,1000,,,,,,,1000,
2009,"1021000109",144,3,1,0.75,2100,,,,,,,2800,
2009,"1021000109",108,1,1,2,2000,,,,,,,1000,
2009,"1021000109",133,7,64,7,3500,,,,,,,500,
2009,"1021000109",146,1,1,0.5,1400,,,,,,,2800,
2009,"1021000109",130,7,64,7,7000,,,,,,,1000,
2009,"1021000109",135,7,64,2,1000,,,,,,,500,
2009,"1021000109",139,2,66,2,200,,,,,,,100,
2009,"1021000109",114,7,41,2,4400,,,,,,,2200,
2009,"1021000109",147,7,1,4,8800,,,,,,,2200,
2009,"1021000109",104,3,64,6,6000,,,,,,,1000,
2009,"1021000109",105,1,64,2,2000,,,,,,,1000,
2009,"1021000109",136,7,64,4,4000,,,,,,,1000,
2009,"1021000109",112,2,64,4,2000,,,,,,,500,
2009,"1021000109",141,1,1,1,1300,,,,,,,1300,
2009,"1021000110",143,3,1,0.75,2400,,,,,,,3200,
2009,"1021000110",117,1,1,1,5000,,,,,,,5000,
2009,"1021000110",134,3,64,1,3000,,,,,,,3000,
2009,"1021000110",125,7,3,7,13300,,,,,,,1900,
2009,"1021000110",147,7,1,2,4800,,,,,,,2400,
2009,"1021000110",103,7,69,3,30000,,,,,,,10000,
2009,"1021000110",150,7,54,0.5,250,,,,,,,500,
2009,"1021000110",124,1,85,10,2000,,,,,,,200,
2009,"1021000110",139,3,66,3,1500,,,,,,,500,
2009,"1021000110",136,7,85,42,4200,,,,,,,100,
2009,"1021000110",149,7,54,0.5,1000,,,,,,,2000,
2009,"1021000110",114,7,41,7,16800,,,,,,,2400,
2009,"1021000110",140,3,32,3,6000,,,,,,,2000,
2009,"1021000110",127,7,26,1,1500,,,,,,,1500,
2009,"1021000110",135,7,85,14,1400,,,,,,,100,
2009,"1021000110",110,6,1,2,8000,,,,,,,4000,
2009,"1021000110",130,1,64,1,2000,,,,,,,2000,
2009,"1021000110",122,5,56,5,20000,,,,,,,4000,
2009,"1021000110",152,7,24,5,10000,,,,,,,2000,
2009,"1021000111",149,7,54,2,200,,,,,,,100,
2009,"1021000111",134,3,85,3,6000,,,,,,,2000,
2009,"1021000111",144,3,1,0.25,900,,,,,,,3600,
2009,"1021000111",114,6,44,36,7200,,,,,,,200,
2009,"1021000111",137,7,85,7,1400,,,,,,,200,
2009,"1021000111",113,3,1,4,5200,,,,,,,1300,
2009,"1021000111",139,3,66,9,900,,,,,,,100,
2009,"1021000111",122,2,55,2,3000,,,,,,,1500,
2009,"1021000111",125,7,3,10.5,10500,,,,,,,1000,
2009,"1021000111",129,3,31,1,1500,,,,,,,1500,
2009,"1021000111",150,7,51,1,300,,,,,,,300,
2009,"1021000111",127,7,4,24,2400,,,,,,,100,
2009,"1021000111",135,7,85,7,1400,,,,,,,200,
2009,"1021000111",110,5,1,5,11000,,,,,,,2200,
2009,"1021000111",136,7,85,7,1400,,,,,,,200,
2009,"1021000111",121,1,85,1,8000,,,,,,,8000,
2009,"1021000111",138,3,66,6,1200,,,,,,,200,
2009,"1021000111",123,1,55,1,2500,,,,,,,2500,
2009,"1021000111",131,2,70,1,1400,,,,,,,1400,
2009,"1021000111",147,7,1,3.5,7700,,,,,,,2200,
2009,"1021000111",117,1,1,1,5000,,,,,,,5000,
2009,"1021000111",151,7,26,10,7000,,,,,,,700,
2009,"1021000111",158,6,26,,,6,4200,,,,,,
2009,"1021000111",157,6,,,,,9000,,,,,,
2009,"1021000113",147,7,1,3.5,8400,,,,,,,2400,
2009,"1021000113",149,7,54,3,300,,,,,,,100,
2009,"1021000113",133,7,64,,,,,,,2,2000,,1000
2009,"1021000113",110,2,1,2,4800,,,,,,,2400,
2009,"1021000113",157,7,,,,,10500,,,,,,
2009,"1021000113",141,7,1,3,6600,,,,,,,2200,
2009,"1021000113",101,7,67,2,30000,,,,,,,15000,
2009,"1021000113",150,7,51,0.5,250,,,,,,,500,
2009,"1021000113",127,7,4,7,1400,,,,,,,200,
2009,"1021000113",145,4,1,1,2000,,,,,,,2000,
2009,"1021000113",136,7,64,3,3000,,,,,,,1000,
2009,"1021000113",139,2,66,2,1000,,,,,,,500,
2009,"1021000113",155,7,85,,,60,6000,,,,,100,
2009,"1021000113",135,7,64,3,1500,,,,,,,500,
2009,"1021000113",138,7,66,,,,,6,3000,,,,500
2009,"1021000113",125,7,3,7,7000,,,,,,,1000,
2009,"1021000113",122,1,55,2,2800,,,,,,,1400,
2009,"1021000113",109,1,64,2,2000,,,,,,,1000,
2009,"1021000113",144,7,1,1,3000,,,,,,,3000,
2009,"1021000113",117,1,1,2,10000,,,,,,,5000,
2009,"1021000113",114,7,44,70,7000,,,,,,,100,
2009,"1021000113",113,3,1,1.5,2250,,,,,,,1500,
2009,"1021000113",131,2,70,,,,,,,4,2000,,500
2009,"1021000113",130,7,64,2,2000,,,,,,,1000,
2009,"1021000113",105,4,64,,,,,,,5,10000,,2000
2009,"1021000201",150,7,54,0.25,125,,,,,,,500,
2009,"1021000201",123,2,55,2,4000,,,,,,,2000,
2009,"1021000201",135,7,85,7,700,,,,,,,100,
2009,"1021000201",149,7,54,2,200,,,,,,,100,
2009,"1021000201",137,3,85,3,1500,,,,,,,500,
2009,"1021000201",136,7,85,7,1400,,,,,,,200,
2009,"1021000201",114,7,44,70,7000,,,,,,,100,
2009,"1021000201",127,7,4,7,1400,,,,,,,200,
2009,"1021000201",113,2,1,2,3000,,,,,,,1500,
2009,"1021000201",140,2,32,1,1500,,,,,,,1500,
2009,"1021000201",105,3,64,3,6000,,,,,,,2000,
2009,"1021000201",147,7,1,1,2200,,,,,,,2200,
2009,"1021000201",110,3,1,3,6000,,,,,,,2000,
2009,"1021000201",157,7,,,,,14000,,,,,,
2009,"1021000201",141,1,1,0.75,1350,,,,,,,1800,
2009,"1021000202",136,2,64,1,500,,,,,,,500,
2009,"1021000202",135,2,85,1,200,,,,,,,200,
2009,"1021000202",157,6,,,,,10000,,,,,,
2009,"1021000202",105,2,64,2,2000,,,,,,,1000,
2009,"1021000202",150,2,53,0.5,50,,,,,,,100,
2009,"1021000202",158,2,24,,,2,1600,,,,,800,
2009,"1021000202",117,2,1,1,5000,,,,,,,5000,
2009,"1021000202",104,2,64,2,1000,,,,,,,500,
2009,"1021000203",149,7,54,0.25,500,,,,,,,2000,
2009,"1021000203",136,7,64,7,3500,,,,,,,500,
2009,"1021000203",135,7,64,1,1000,,,,,,,1000,
2009,"1021000203",107,1,64,2,4000,,,,,,,2000,
2009,"1021000203",113,2,1,2,3000,,,,,,,1500,
2009,"1021000203",105,3,64,6,12000,,,,,,,2000,
2009,"1021000203",141,7,1,7,11200,,,,,,,1600,
2009,"1021000203",150,7,1,0.25,200,,,,,,,800,
2009,"1021000203",157,6,,,,,9000,,,,,,
2009,"1021000203",125,3,3,3,2400,,,,,,,800,
2009,"1021000203",147,7,1,3,7200,,,,,,,2400,
2009,"1021000203",110,1,1,3,6000,,,,,,,2000,
2009,"1021000203",127,7,4,7,2100,,,,,,,300,
2009,"1021000207",151,2,26,2,1200,,,,,,,600,
2009,"1021000207",123,1,33,1,500,,,,,,,500,
2009,"1021000207",135,7,64,1,500,,,,,,,500,
2009,"1021000207",154,7,32,14,4200,,,,,,,300,
2009,"1021000207",147,7,1,1,2200,,,,,,,2200,
2009,"1021000207",134,7,64,1,1000,,,,,,,1000,
2009,"1021000207",144,2,1,0.5,1400,,,,,,,2800,
2009,"1021000207",157,6,,,,,6000,,,,,,
2009,"1021000207",110,3,1,3,6600,,,,,,,2200,
2009,"1021000207",150,7,54,0.5,250,,,,,,,500,
2009,"1021000207",149,7,54,1,200,,,,,,,200,
2009,"1021000207",139,3,66,3,900,,,,,,,300,
2009,"1021000207",104,7,64,7,7000,,,,,,,1000,
2009,"1021000207",127,2,4,2,400,,,,,,,200,
2009,"1021000207",138,2,66,2,1000,,,,,,,500,
2009,"1021000207",114,7,44,21,2100,,,,,,,100,
2009,"1021000207",153,2,19,,,2,1000,,,,,500,
2009,"1021000207",136,7,85,3,600,,,,,,,200,
2009,"1021000207",113,2,1,1,1300,,,,,,,1300,
2009,"1021000207",124,7,85,14,2800,,,,,,,200,
2009,"1021000209",131,7,70,2,800,,,,,,,400,
2009,"1021000209",157,7,,,,,24500,,,,,,
2009,"1021000209",147,7,1,0.5,1100,,,,,,,2200,
2009,"1021000209",148,7,54,1,100,,,,,,,100,
2009,"1021000209",160,,,,,,1800,,,,,,
2009,"1021000209",154,7,3,3,1800,,,,,,,600,
2009,"1021000210",154,7,32,35,3500,,,,,,,100,
2009,"1021000210",153,3,33,3,3000,,,,,,,1000,
2009,"1021000210",157,7,,,,,17500,,,,,,
2009,"1021000212",138,1,66,1,500,,,,,,,500,
2009,"1021000212",124,2,85,8,1600,,,,,,,200,
2009,"1021000212",144,1,32,1,700,,,,,,,700,
2009,"1021000212",147,7,1,1.5,3600,,,,,,,2400,
2009,"1021000212",134,1,85,1,200,,,,,,,200,
2009,"1021000212",137,1,85,1,500,,,,,,,500,
2009,"1021000212",125,2,3,2,1600,,,,,,,800,
2009,"1021000212",150,7,54,0.5,125,,,,,,,250,
2009,"1021000212",135,7,85,,,,,,,7,700,,200
2009,"1021000212",117,1,1,1,5000,,,,,,,5000,
2009,"1021000212",139,1,66,1,500,,,,,,,500,
2009,"1021000212",145,4,32,,,,,,,4,8000,,2000
2009,"1021000212",133,3,85,3,600,,,,,,,200,
2009,"1021000212",131,1,70,1,500,,,,,,,500,
2009,"1021000212",149,7,54,1,100,,,,,,,100,
2009,"1021000212",104,4,64,4,8000,,,,,,,2000,
2009,"1021000212",141,2,32,,,,,,,2,1400,,700
2009,"1021000212",110,1,1,0.5,1200,,,,,,,2400,
2009,"1021000212",127,7,4,7,1400,,,,,,,200,
2009,"1021000212",114,7,44,28,5600,,,,,,,200,
2009,"1021000212",107,2,64,2,2000,,,,,,,1000,
2009,"1021000212",136,7,85,,,,,,,7,1400,,200
2009,"1021000212",140,1,32,,,,,,,1,1000,,1000
2009,"1021000212",113,1,1,1,1500,,,,,,,1500,
2009,"1021000212",119,1,1,0.5,2500,,,,,,,5000,
2009,"1021000213",150,7,54,2,500,,,,,,,250,
2009,"1021000213",144,6,1,3,12000,,,,,,,4000,
2009,"1021000213",135,7,64,3,1500,,,,,,,500,
2009,"1021000213",147,7,1,7,17500,,,,,,,2500,
2009,"1021000213",107,5,64,5,5000,,,,,,,1000,
2009,"1021000213",136,7,64,7,7000,,,,,,,1000,
2009,"1021000213",132,1,85,2,1000,,,,,,,500,
2009,"1021000213",139,5,66,5,2500,,,,,,,500,
2009,"1021000213",137,3,85,3,3000,,,,,,,1000,
2009,"1021000213",102,4,68,2,30000,,,,,,,15000,
2009,"1021000213",117,2,1,5,25000,,,,,,,5000,
2009,"1021000213",105,2,64,5,5000,,,,,,,1000,
2009,"1021000213",141,6,1,6,12000,,,,,,,2000,
2009,"1021000213",133,3,64,1,2000,,,,,,,2000,
2009,"1021000213",110,2,1,4,8000,,,,,,,2000,
2009,"1021000213",134,3,85,3,6000,,,,,,,2000,
2009,"1021000213",129,2,31,1,2500,,,,,,,2500,
2009,"1021000213",130,7,64,7,14000,,,,,,,2000,
2009,"1021000213",113,5,1,7,10500,,,,,,,1500,
2009,"1021000213",149,7,1,0.25,1000,,,,,,,4000,
2009,"1021000213",114,2,41,2,4000,,,,,,,2000,
2009,"1021000213",151,3,26,5,3500,,,,,,,700,
2009,"1021000213",131,2,70,2,2000,,,,,,,1000,
2009,"1021000213",127,7,3,1,4000,,,,,,,4000,
2009,"1021000303",147,7,1,0.5,1200,,,,,,,2400,
2009,"1021000303",154,1,24,2,1000,,,,,,,500,
2009,"1021000303",114,3,44,9,900,,,,,,,100,
2009,"1021000303",149,7,54,1,100,,,,,,,100,
2009,"1021000303",157,3,,,,,7500,,,,20000,,
2009,"1021000310",157,7,,,,,,,,,42000,,
2009,"1021000310",154,7,24,7,3500,,,,,,,500,
2009,"1021000310",125,2,3,1,1600,,,,,,,1600,
2009,"1021000310",124,2,85,4,800,,,,,,,200,
2009,"1021000312",109,3,64,3,3000,,,,,,,1000,
2009,"1021000312",147,7,1,1,2400,,,,,,,2400,
2009,"1021000312",127,7,3,0.25,1000,,,,,,,4000,
2009,"1021000312",157,1,,,,,2500,,,,,,
2009,"1021000312",151,1,26,2,1400,,,,,,,700,
2009,"1021000312",130,3,64,1,1000,,,,,,,1000,
2009,"1021000312",134,4,64,1,1000,,,,,,,1000,
2009,"1021000312",150,7,54,0.330000013113022,100,,,,,,,300,
2009,"1021000312",110,1,1,0.25,625,,,,,,,2500,
2009,"1021000312",121,1,85,0.25,2500,,,,,,,10000,
2009,"1021000312",117,1,1,0.5,2500,,,,,,,5000,
2009,"1021000312",132,2,85,2,400,,,,,,,200,
2009,"1021000312",135,7,64,1,500,,,,,,,500,
2009,"1021000312",104,2,64,1,1500,,,,,,,1500,
2009,"1021000312",129,3,31,1,1000,,,,,,,1000,
2009,"1021000312",149,7,54,1,100,,,,,,,100,
2009,"1021000312",125,7,3,10.5,10500,,,,,,,1000,
2009,"1021000312",133,3,64,1,500,,,,,,,500,
2009,"1021000312",124,3,85,10,2000,,,,,,,200,
2009,"1021000312",113,2,1,0.5,750,,,,,,,1500,
2009,"1021000312",141,1,1,0.25,450,,,,,,,1800,
2009,"1021000312",136,7,85,1,1000,,,,,,,1000,
2009,"1021000312",114,3,42,2,2600,,,,,,,1300,
2009,"1021000312",139,1,64,1,200,,,,,,,200,
2009,"1021000312",108,1,32,1,400,,,,,,,400,
2009,"1021000312",131,7,70,1,1400,,,,,,,1400,
2009,"1021000312",137,3,85,1,500,,,,,,,500,
2009,"1021000313",157,7,,,,,30800,,,,,,
2009,"1021000313",153,7,27,56,67200,,,,,,,1200,
2009,"1021000313",158,7,26,,,7,4900,,,,,,700
2009,"1021000401",154,7,24,21,6300,,,,,,,300,
2009,"1021000401",149,7,54,0.5,50,,,,,,,100,
2009,"1021000401",114,7,42,2,2600,,,,,,,1300,
2009,"1021000401",147,7,1,0.5,1200,,,,,,,2400,
2009,"1021000401",157,7,,,,,5600,,,,,,
2009,"1021000402",148,1,54,1,200,,,,,,,200,
2009,"1021000402",136,1,85,1,200,,,,,,,200,
2009,"1021000402",135,1,85,1,200,,,,,,,200,
2009,"1021000402",120,1,1,2,10000,,,,,,,5000,
2009,"1021000402",105,1,64,1,1000,,,,,,,1000,
2009,"1021000402",147,7,1,2,4400,,,,,,,2200,
2009,"1021000402",133,1,64,5,2500,,,,,,,500,
2009,"1021000402",127,1,4,5,500,,,,,,,100,
2009,"1021000402",139,1,64,5,2500,,,,,,,500,
2009,"1021000402",104,1,64,8,4000,,,,,,,500,
2009,"1021000402",150,1,53,1,200,,,,,,,200,
2009,"1021000402",157,6,,,,,38500,,,,,,
2009,"1021000402",130,1,64,2,2000,,,,,,,1000,
2009,"1021000402",110,1,1,0.5,1200,,,,,,,2400,
2009,"1021000402",114,3,42,1,1500,,,,,,,1500,
2009,"1021000405",136,7,64,7,7000,,,,,,,1000,
2009,"1021000405",110,1,1,0.5,1000,,,,,,,2000,
2009,"1021000405",107,1,64,1,1000,,,,,,,1000,
2009,"1021000405",147,7,1,0.75,1800,,,,,,,2200,
2009,"1021000405",150,7,54,1,150,,,,,,,150,
2009,"1021000405",124,7,85,7,1400,,,,,,,200,
2009,"1021000405",139,2,64,2,400,,,,,,,200,
2009,"1021000405",127,7,4,7,1400,,,,,,,200,
2009,"1021000405",140,1,64,1,1000,,,,,,,1000,
2009,"1021000405",117,1,1,0.5,2500,,,,,,,5000,
2009,"1021000405",149,7,54,1,100,,,,,,,100,
2009,"1021000405",144,1,1,0.25,750,,,,,,,3000,
2009,"1021000405",114,1,42,1,1200,,,,,,,1200,
2009,"1021000405",132,1,64,1,1000,,,,,,,1000,
2009,"1021000405",125,7,3,7,5600,,,,,,,800,
2009,"1021000405",135,7,85,7,700,,,,,,,100,
2009,"1021000405",157,7,,,,,21000,,,,,,
2009,"1021000405",104,7,64,7,14000,,,,,,,2000,
2009,"1021000405",109,1,64,2,2000,,,,,,,1000,
2009,"1021000406",139,5,66,15,1500,,,,,,,100,
2009,"1021000406",131,1,70,1,800,,,,,,,800,
2009,"1021000406",132,1,85,,,,,,,15,7500,,500
2009,"1021000406",133,1,64,1,500,,,,,,,500,
2009,"1021000406",138,1,66,1,500,,,,,,,500,
2009,"1021000406",136,7,64,7,2100,,,,,,,300,
2009,"1021000406",105,2,64,1,2000,,,,,,,2000,
2009,"1021000406",144,1,1,0.5,1500,,,,,,,3000,
2009,"1021000406",129,1,54,1,300,,,,,,,300,
2009,"1021000406",149,7,54,1,100,,,,,,,100,
2009,"1021000406",123,1,55,1,3000,,,,,,,3000,
2009,"1021000406",141,1,1,1,2300,,,,,,,2300,
2009,"1021000406",137,1,85,1,1000,,,,,,,1000,
2009,"1021000406",151,1,3,1,1500,,,,,,,1500,
2009,"1021000406",135,7,85,7,700,,,,,,,100,
2009,"1021000406",102,7,68,3,24000,,,,,,,8000,
2009,"1021000406",127,7,4,21,2100,,,,,,,100,
2009,"1021000406",130,1,64,1,1000,,,,,,,1000,
2009,"1021000406",125,2,3,2,2400,,,,,,,1200,
2009,"1021000406",150,7,1,0.25,300,,,,,,,1200,
2009,"1021000406",107,1,64,1,2000,,,,,,,2000,
2009,"1021000406",140,1,64,1,500,,,,,,,500,
2009,"1021000406",147,7,1,3,6900,,,,,,,2300,
2009,"1021000406",134,1,85,1,500,,,,,,,500,
2009,"1021000406",148,7,54,1,100,,,,,,,100,
2009,"1021000406",114,2,41,1,2200,,,,,,,2200,
2009,"1021000406",112,7,64,7,1400,,,,,,,200,
2009,"1021000406",122,1,56,1,8000,,,,,,,8000,
2009,"1021000406",110,1,1,2,4400,,,,,,,2200,
2009,"1021000406",109,1,64,1,2000,,,,,,,2000,
2009,"1021000406",117,1,1,1.5,7500,,,,,,,5000,
2009,"1021000406",145,1,1,0.5,1500,,,,,,,3000,
2009,"1021000406",113,1,1,1.5,1800,,,,,,,1200,
2009,"1021000408",147,7,1,1,2500,,,,,,,2500,
2009,"1021000408",149,7,54,2,200,,,,,,,100,
2009,"1021000408",152,4,24,,,8,16000,,,,,2000,
2009,"1021000408",153,7,33,,,21,12600,,,,,600,
2009,"1021000408",139,3,66,,,,,,,,,,
2009,"1021000408",150,7,1,0.25,250,,,,,,,1000,
2009,"1021000408",137,2,85,,,,,,,1,500,,500
2009,"1021000408",136,7,64,,,,,,,7,7000,,1000
2009,"1021000408",135,3,64,,,,,,,1,200,,200
2009,"1021000408",125,3,3,3,1500,,,,,,,500,
2009,"1021000408",127,2,4,1,500,,,,,,,500,
2009,"1021000408",155,7,85,,,20,2000,,,,,100,
2009,"1021000408",144,7,1,0.5,1500,,,,,,,3000,
2009,"1021000408",112,4,64,4,4000,,,,,,,1000,
2009,"1021000408",105,7,64,7,14000,,,,,,,2000,
2009,"1021000409",149,7,54,1,500,,,,,,,500,
2009,"1021000409",147,1,1,1,3000,,,,,,,3000,
2009,"1021000409",157,7,,,,,30000,,,,,,
2009,"1021000501",160,,,,2000,,,,,,,,
2009,"1021000501",161,,,,2000,,,,,,,,
2009,"1021000501",157,,,,14000,,,,,,,,
2009,"1021000503",105,3,64,1,1000,,,,,,,1000,
2009,"1021000503",147,7,1,1,2500,,,,,,,2500,
2009,"1021000503",127,7,4,,,,,,,20,2000,100,
2009,"1021000503",130,7,64,,,,,,,4,4000,1000,
2009,"1021000503",117,5,1,1.5,7500,,,,,,,5000,
2009,"1021000503",110,3,1,1.5,2700,,,,,,,1800,
2009,"1021000503",136,7,64,3,1500,,,,,,,500,
2009,"1021000503",149,7,53,1,200,,,,,,,200,
2009,"1021000503",131,2,70,,,,,,,1,1000,1000,
2009,"1021000503",104,5,64,3,3000,,,,,,,1000,
2009,"1021000503",113,1,1,0.5,800,,,,,,,1600,
2009,"1021000503",114,3,42,,,,,,,2,2400,1200,
2009,"1021000503",144,3,54,9,4500,,,,,,,500,
2009,"1021000503",135,7,64,,,,,,,4,2000,500,
2009,"1021000503",139,2,66,2,1000,,,,,,,500,
2009,"1021000503",150,7,54,1,200,,,,,,,200,
2009,"1021000504",117,3,1,1,4000,,,,,,,4000,
2009,"1021000504",141,1,1,0.5,850,,,,,,,1700,
2009,"1021000504",136,6,64,6,1200,,,,,,,200,
2009,"1021000504",135,7,66,7,700,,,,,,,100,
2009,"1021000504",104,6,64,6,12000,,,,,,,2000,
2009,"1021000504",150,7,1,0.25,250,,,,,,,1000,
2009,"1021000504",125,1,3,0.5,500,,,,,,,1000,
2009,"1021000504",109,1,64,1,2500,,,,,,,2500,
2009,"1021000504",110,7,1,2,4000,,,,,,,2000,
2009,"1021000504",149,7,54,1,100,,,,,,,100,
2009,"1021000504",127,6,4,18,1800,,,,,,,100,
2009,"1021000504",133,2,64,,,,,,,1,500,500,
2009,"1021000504",132,7,64,2,1000,,,,,,,500,
2009,"1021000504",147,7,1,,,,,,,0.5,1100,2200,
2009,"1021000504",112,3,85,3,300,,,,,,,100,
2009,"1021000504",139,2,66,2,1000,,,,,,,500,
2009,"1021000504",144,1,1,1,3200,,,,,,,3200,
2009,"1021000504",114,2,41,,,,,,,1,2500,2500,
2009,"1021000504",151,2,25,,,,,,,2,1400,700,
2009,"1021000504",145,2,1,1,2000,,,,,,,2000,
2009,"1021000506",122,1,55,1,3000,,,,,,,3000,
2009,"1021000506",155,7,54,4.5,6750,,,,,,,1500,
2009,"1021000506",150,7,52,1,200,,,,,,,200,
2009,"1021000506",135,7,64,1,1000,,,,,,,1000,
2009,"1021000506",117,2,1,2,11000,,,,,,,5500,
2009,"1021000506",124,4,85,20,4000,,,,,,,200,
2009,"1021000506",113,1,1,0.25,400,,,,,,,1600,
2009,"1021000506",110,7,1,7,17500,,,,,,,2500,
2009,"1021000506",136,7,64,2,2000,,,,,,,1000,
2009,"1021000506",101,7,67,1,15000,,,,,,,15000,
2009,"1021000506",161,,,,,,,,,,,,
2009,"1021000506",149,7,53,1,600,,,,,,,600,
2009,"1021000506",125,7,3,14,14000,,,,,,,1000,
2009,"1021000506",129,7,31,1,2300,,,,,,,2300,
2009,"1021000506",152,3,24,6,12000,,,,,,,2000,
2009,"1021000506",147,7,1,2,5000,,,,,,,2500,
2009,"1021000506",114,7,41,4,10000,,,,,,,2500,
2009,"1021000506",121,2,85,2,20000,,,,,,,10000,
2009,"1021000506",141,1,1,0.5,800,,,,,,,1600,
2009,"1021000506",132,2,85,5,1000,,,,,,,200,
