"year","HHID","h15cq2","h15cq3","h15cq4","h15cq5","h15cq6","h15cq7","h15cq8","h15cq9","h15cq10"
2009,"1013000213",452,47,1,1200,,,,,1200
2009,"1013000213",502,,,12000,,,,,
2009,"1021000102",303,,,,,,,300000,
2009,"1021000102",305,,,20000,,,,,
2009,"1021000102",306,,,20000,,,,,
2009,"1021000102",309,13,1,35000,,,,,35000
2009,"1021000102",311,,,30000,,,,,
2009,"1021000102",451,54,6,300,,,,,300
2009,"1021000102",452,47,4,4800,,,,,1200
2009,"1021000102",453,46,2,3000,,,,,1500
2009,"1021000102",454,,,3200,,,,,
2009,"1021000102",455,,,25000,,,,,
2009,"1021000102",462,,,500000,,,,,
2009,"1021000102",465,,,100000,,,,,
2009,"1021000102",467,,,150000,,,,,
2009,"1021000102",603,,,40000,,,,,
2009,"1021000102",604,,,10000,,,,,
2009,"1021000108",302,,,,,300000,,,
2009,"1021000108",305,,,10000,,,,,
2009,"1021000108",306,,,50000,,,,,
2009,"1021000108",309,13,1,30000,,,,,30000
2009,"1021000108",451,54,3,150,,,,,50
2009,"1021000108",452,47,2,3000,,,,,1500
2009,"1021000108",453,46,2,3000,,,,,1500
2009,"1021000108",454,,,3600,,,,,
2009,"1021000108",455,,,12000,,,,,
2009,"1021000108",458,,,3000,,,,,
2009,"1021000108",463,,,40000,,,,,
2009,"1021000108",467,,,30000,,,,,
2009,"1021000108",468,,,10000,,,,,
2009,"1021000108",502,,,23000,,,,,
2009,"1021000108",604,,,40000,,,,,
2009,"1021000109",301,,,60000,,,,,
2009,"1021000109",305,,,14000,,,,,
2009,"1021000109",306,,,10000,,,,,
2009,"1021000109",309,13,2,40000,,,,,20000
2009,"1021000109",451,54,2,100,,,,,50
2009,"1021000109",452,47,5,6500,,,,,1500
2009,"1021000109",453,46,2,3000,,,,,1500
2009,"1021000109",454,,,2000,,,,,
2009,"1021000109",455,,,7000,,,,,
2009,"1021000109",456,,,12000,,,,,
2009,"1021000109",463,,,10000,,,,,
2009,"1021000109",465,,,20000,,,,,
2009,"1021000109",466,,,100,,,,,
2009,"1021000109",467,,,15000,,,,,
2009,"1021000109",468,,,1700,,,,,
2009,"1021000109",502,,,30000,,,,,
2009,"1021000109",604,,,1340,,,,,
2009,"1021000110",302,,,,,100000,,,
2009,"1021000110",305,,,30000,,,,,
2009,"1021000110",308,3,5,9000,,,,,1800
2009,"1021000110",309,13,1,30000,,,,,30000
2009,"1021000110",451,54,5,250,,,,,50
2009,"1021000110",452,47,1,1500,,,,,1500
2009,"1021000110",453,46,6,6000,,,,,1000
2009,"1021000110",454,,,3400,,,,,
2009,"1021000110",455,,,6000,,,,,
2009,"1021000110",457,84,2,2000,,,,,1000
2009,"1021000110",458,,,24000,,,,,
2009,"1021000110",463,,,80000,,,,,
2009,"1021000110",465,,,15000,,,,,
2009,"1021000110",467,,,380000,,,,,
2009,"1021000110",468,,,10000,,,,,
2009,"1021000110",502,,,20000,,,,,
2009,"1021000110",604,,,6000,,,,,
2009,"1021000111",302,,,,,100000,,,
2009,"1021000111",304,,,80000,,,,,
2009,"1021000111",305,,,11200,,,,,
2009,"1021000111",306,,,100000,,,,,
2009,"1021000111",308,3,4,7600,,,,,1900
2009,"1021000111",309,13,1,19600,,,,,19600
2009,"1021000111",451,54,2,100,,,,,50
2009,"1021000111",452,47,4,4800,,,,,1200
2009,"1021000111",453,46,1,1500,,,,,1500
2009,"1021000111",454,,,2000,,,,,
2009,"1021000111",455,,,1000,,,,,
2009,"1021000111",456,,,14000,,,,,
2009,"1021000111",457,84,2,700,,,,,350
2009,"1021000111",458,,,12000,,,,,
2009,"1021000111",463,,,160000,,,,,
2009,"1021000111",465,,,20000,,,,,
2009,"1021000111",466,,,1000,,,,,
2009,"1021000111",467,,,40000,,,,,
2009,"1021000111",502,,,85000,,,,,
2009,"1021000111",503,,,180000,,,,,
2009,"1021000111",601,,,20000,,,,,
2009,"1021000111",604,,,20000,,,,,
2009,"1021000113",302,,,,,300000,,,
2009,"1021000113",305,,,60000,,,,,
2009,"1021000113",306,,,100000,,,,,
2009,"1021000113",309,13,2,56000,,,,,28000
2009,"1021000113",451,54,8,400,,,,,50
2009,"1021000113",452,47,6,6000,,,,,1000
2009,"1021000113",453,46,2,4000,,,,,2000
2009,"1021000113",454,,,6000,,,,,
2009,"1021000113",458,,,4500,,,,,
2009,"1021000113",463,,,56000,,,,,
2009,"1021000113",467,,,20000,,,,,
2009,"1021000113",502,,,55000,,,,,
2009,"1021000113",604,,,22000,,,,,
2009,"1021000201",301,,,110000,,,,,
2009,"1021000201",306,,,15000,,,,,
2009,"1021000201",308,3,2,3600,,,,,1800
2009,"1021000201",309,13,1,30000,,,,,30000
2009,"1021000201",451,54,5,250,,,,,50
2009,"1021000201",452,47,2,2000,,,,,1000
2009,"1021000201",453,46,2,2000,,,,,1000
2009,"1021000201",454,,,1000,,,,,
2009,"1021000201",455,,,2000,,,,,
2009,"1021000201",457,84,1,1000,,,,,1000
2009,"1021000201",461,,,90000,,,,,
2009,"1021000201",463,,,62000,,,,,
2009,"1021000201",465,,,4000,,,,,
2009,"1021000201",467,,,18000,,,,,
2009,"1021000201",502,,,35500,,,,,
2009,"1021000201",601,,,1000,,,,,
2009,"1021000201",604,,,2000,,,,,
2009,"1021000202",301,,,40000,,,,,
2009,"1021000202",305,,,8400,,,,,
2009,"1021000202",306,,,10000,,,,,
2009,"1021000202",309,22,2,10000,,,,,5000
2009,"1021000202",451,54,1,50,,,,,50
2009,"1021000202",452,47,2,2600,,,,,1300
2009,"1021000202",454,,,300,,,,,
2009,"1021000202",463,,,1000,,,,,
2009,"1021000202",467,,,14000,,,,,
2009,"1021000202",502,,,10000,,,,,
2009,"1021000202",604,,,10000,,,,,
2009,"1021000203",301,,,40000,,,,,
2009,"1021000203",308,3,4,8000,,,,,2000
2009,"1021000203",309,13,1,35000,,,,,35000
2009,"1021000203",451,54,8,400,,,,,50
2009,"1021000203",452,47,8,12000,,,,,1500
2009,"1021000203",453,48,2,3000,,,,,1500
2009,"1021000203",454,,,9000,,,,,
2009,"1021000203",455,,,3000,,,,,
2009,"1021000203",463,,,90000,,,,,
2009,"1021000203",467,,,50000,,,,,
2009,"1021000203",601,,,5000,,,,,
2009,"102100020304",301,,,35000,,,,,
2009,"102100020304",309,13,1,27000,,,,,27000
2009,"102100020304",451,54,4,200,,,,,50
2009,"102100020304",452,47,2,2000,,,,,1000
2009,"102100020304",453,46,1,1500,,,,,1500
2009,"102100020304",454,,,1000,,,,,
2009,"102100020304",455,,,1500,,,,,
2009,"102100020304",456,,,10000,,,,,
2009,"102100020304",457,84,1,900,,,,,900
2009,"102100020304",461,,,5000,,,,,
2009,"102100020304",463,,,2000,,,,,
2009,"102100020304",465,,,4000,,,,,
2009,"102100020304",467,,,20000,,,,,
2009,"102100020304",502,,,31000,,,,,
2009,"102100020304",604,,,23000,,,,,
2009,"1021000207",301,,,50000,,,,,
2009,"1021000207",305,,,4800,,,,,
2009,"1021000207",306,,,15000,,,,,
2009,"1021000207",308,4,4,1400,,,,,350
2009,"1021000207",309,13,1,30000,,,,,30000
2009,"1021000207",451,54,4,400,,,,,100
2009,"1021000207",452,47,1.25,1800,,,,,1200
2009,"1021000207",453,46,2,2000,,,,,1000
2009,"1021000207",454,,,700,,,,,
2009,"1021000207",455,,,2000,,,,,
2009,"1021000207",463,,,80000,,,,,
2009,"1021000207",465,,,20000,,,,,
2009,"1021000207",467,,,30000,,,,,
2009,"1021000207",604,,,6000,,,,,
2009,"1021000209",301,,,60000,,,,,
2009,"1021000209",305,,,2000,,,,,
2009,"1021000209",306,,,15000,,,,,
2009,"1021000209",308,3,2,4000,,,,,2000
2009,"1021000209",309,22,1,5000,,,,,5000
2009,"1021000209",451,54,2,200,,,,,100
2009,"1021000209",452,47,1,2000,,,,,2000
2009,"1021000209",453,46,1,1800,,,,,1800
2009,"1021000209",454,,,1000,,,,,
2009,"1021000209",457,84,2,2000,,,,,1000
2009,"1021000209",467,,,60000,,,,,
2009,"1021000210",301,,,35000,,,,,
2009,"1021000210",305,,,3000,,,,,
2009,"1021000210",308,26,3,3000,,,,,1000
2009,"1021000210",451,54,2,200,,,,,100
2009,"1021000210",452,47,2,2400,,,,,1200
2009,"1021000210",468,,,2000,,,,,
2009,"1021000210",502,,,8000,,,,,
2009,"1021000210",604,,,3000,,,,,
2009,"1021000212",301,,,60000,,,,,
2009,"1021000212",305,,,9000,,,,,
2009,"1021000212",309,13,0.5,15000,,,,,30000
2009,"1021000212",451,54,8,400,,,,,50
2009,"1021000212",452,47,4,4000,,,,,1000
2009,"1021000212",453,46,4,4800,,,,,1200
2009,"1021000212",454,,,800,,,,,
2009,"1021000212",455,,,3500,,,,,
2009,"1021000212",463,,,1500,,,,,
2009,"1021000212",465,,,4000,,,,,
2009,"1021000212",502,,,24000,,,,,
2009,"1021000212",601,,,4000,,,,,
2009,"1021000212",604,,,1000,,,,,
2009,"1021000213",302,,,,,500000,,,
2009,"1021000213",305,,,50000,,,,,
2009,"1021000213",306,,,90000,,,,,
2009,"1021000213",308,3,5,10000,,,,,2000
2009,"1021000213",309,13,1,30000,,,,,30000
2009,"1021000213",310,66,4,20000,,,,,5000
2009,"1021000213",451,54,4,200,,,,,50
2009,"1021000213",452,47,8,12800,,,,,1600
2009,"1021000213",453,46,8,16000,,,,,2000
2009,"1021000213",454,,,6000,,,,,
2009,"1021000213",455,,,30000,,,,,
2009,"1021000213",457,84,3,3000,,,,,1000
2009,"1021000213",461,,,120000,,,,,
2009,"1021000213",463,,,160000,,,,,
2009,"1021000213",464,,,2000,,,,,
2009,"1021000213",465,,,20000,,,,,
2009,"1021000213",466,,,30000,,,,,
2009,"1021000213",469,,,19000,,,,,
2009,"1021000213",602,,,20000,,,,,
2009,"1021000213",603,,,40000,,,,,
2009,"1021000213",604,,,50000,,,,,
2009,"1021000303",303,,,,,,,50000,
2009,"1021000303",305,,,25000,,,,,
2009,"1021000303",308,3,3,5400,,,,,1800
2009,"1021000303",309,22,1,5000,,,,,5000
2009,"1021000303",451,54,2,100,,,,,50
2009,"1021000303",452,47,1,1400,,,,,1400
2009,"1021000303",453,46,2,4000,,,,,2000
2009,"1021000303",463,,,10000,,,,,
2009,"1021000303",464,,,40000,,,,,
2009,"1021000303",465,,,15000,,,,,
2009,"1021000303",467,,,30000,,,,,
2009,"1021000303",468,,,3000,,,,,
2009,"1021000303",601,,,4000,,,,,
2009,"1021000303",604,,,4000,,,,,
2009,"1021000310",301,,,50000,,,,,
2009,"1021000310",305,,,9000,,,,,
2009,"1021000310",306,,,10000,,,,,
2009,"1021000310",453,46,1,2000,,,,,
2009,"1021000310",454,,,2000,,,,,
2009,"1021000310",455,,,5000,,,,,
2009,"1021000310",459,,,2500,,,,,
2009,"1021000310",463,,,60000,,,,,
2009,"1021000310",465,,,10000,,,,,
2009,"1021000310",467,,,120000,,,,,
2009,"1021000310",602,,,6000,,,,,
2009,"1021000310",604,,,25000,,,,,
2009,"1021000312",301,,,100000,,,,,
2009,"1021000312",305,,,13500,,,,,
2009,"1021000312",306,,,10000,,,,,
2009,"1021000312",308,3,2.5,5000,,,,,2000
2009,"1021000312",309,13,1,30000,,,,,30000
2009,"1021000312",451,54,4,200,,,,,50
2009,"1021000312",452,47,4,5600,,,,,1400
2009,"1021000312",453,46,1,1500,,,,,1500
2009,"1021000312",454,,,1800,,,,,
2009,"1021000312",455,,,5000,,,,,
2009,"1021000312",457,84,2,2400,,,,,1200
2009,"1021000312",463,,,10000,,,,,
2009,"1021000312",467,,,12000,,,,,
2009,"1021000312",604,,,2000,,,,,
2009,"1021000313",301,,,50000,,,,,
2009,"1021000313",305,,,2400,,,,,
2009,"1021000313",452,47,1,1500,,,,,1500
2009,"1021000313",454,,,1600,,,,,
2009,"1021000313",455,,,9000,,,,,
2009,"1021000313",458,,,1500,,,,,
2009,"1021000313",467,,,140000,,,,,
2009,"1021000313",604,,,3000,,,,,
2009,"1021000401",301,,,20000,,,,,
2009,"1021000401",305,,,1200,,,,,
2009,"1021000401",308,3,1,2000,,,,,2000
2009,"1021000401",451,54,2,100,,,,,50
2009,"1021000401",452,47,0.5,500,,,,,1000
2009,"1021000401",454,,,800,,,,,
2009,"1021000401",455,,,600,,,,,
2009,"1021000401",457,84,1,1000,,,,,1000
2009,"1021000401",465,,,6000,,,,,
2009,"1021000401",467,,,4000,,,,,
2009,"1021000401",468,,,1500,,,,,
2009,"1021000401",601,,,,,,,20000,
2009,"1021000401",604,,,700,,,,,
2009,"1021000402",302,,,,,500000,,,
2009,"1021000402",308,3,3.25,5850,,,,,1800
2009,"1021000402",309,22,2,6000,,,,,3600
2009,"1021000402",452,47,1,1500,,,,,1500
2009,"1021000402",453,46,1,1500,,,,,1500
2009,"1021000402",454,,,1000,,,,,
2009,"1021000402",457,84,1,2500,,,,,2500
2009,"1021000402",458,,,24000,,,,,
2009,"1021000402",461,,,70000,,,,,
2009,"1021000402",462,,,40000,,,,,
2009,"1021000402",467,,,112000,,,,,
2009,"1021000402",502,,,70000,,,,,
2009,"1021000402",602,,,14000,,,,,
2009,"1021000402",604,,,5000,,,,,
2009,"1021000405",302,,,,,25000,,,
2009,"1021000405",305,,,6000,,,,,
2009,"1021000405",308,3,4,7200,,,,,1800
2009,"1021000405",309,22,4,14000,,,,,3500
2009,"1021000405",451,54,4,200,,,,,50
2009,"1021000405",452,48,10,2000,,,,,2000
2009,"1021000405",454,,,800,,,,,
2009,"1021000405",455,,,3500,,,,,
2009,"1021000405",457,84,1,1200,,,,,
2009,"1021000405",465,,,12000,,,,,
2009,"102100040502",302,,,,,35000,,,
2009,"102100040502",305,,,15000,,,,,
2009,"102100040502",309,22,2,10000,,,,,5000
2009,"102100040502",451,54,4,200,,,,,50
2009,"102100040502",452,47,3,3600,,,,,1200
2009,"102100040502",454,,,3000,,,,,
2009,"102100040502",457,84,1,1000,,,,,1000
2009,"102100040502",463,,,60000,,,,,
2009,"102100040502",467,,,4000,,,,,
2009,"102100040502",468,,,400,,,,,
2009,"102100040502",502,,,12000,,,,,
2009,"102100040502",601,,,5000,,,,,
2009,"102100040502",604,,,7000,,,,,
2009,"102100040504",301,,,25000,,,,,
2009,"102100040504",305,,,9000,,,,,
2009,"102100040504",309,13,0.5,15000,,,,,30000
2009,"102100040504",311,,,6000,,,,,
2009,"102100040504",451,54,3,1500,,,,,50
2009,"102100040504",452,47,3,3600,,,,,1200
2009,"102100040504",453,,,,,,,6000,
2009,"102100040504",454,,,6000,,,,,
2009,"102100040504",457,84,1,1000,,,,,
2009,"102100040504",463,,,2400,,,,,
2009,"102100040504",465,,,18000,,,,,
2009,"102100040504",467,,,60000,,,,,
2009,"102100040504",502,,,5000,,,,10000,
2009,"102100040504",604,,,30000,,,,,
2009,"1021000406",301,,,15000,,,,,
2009,"1021000406",305,,,14000,,,,,
2009,"1021000406",308,3,1,1900,,,,,1900
2009,"1021000406",309,13,1,25000,,,,,25000
2009,"1021000406",451,54,4,200,,,,,50
2009,"1021000406",452,47,2,2000,,,,,1000
2009,"1021000406",454,,,700,,,,,
2009,"1021000406",455,,,2000,,,,,
2009,"1021000406",461,,,6000,,,,,
2009,"1021000406",463,,,28000,,,,,
2009,"1021000406",467,,,40000,,,,,
2009,"1021000406",468,,,20000,,,,,
2009,"1021000406",469,,,1000,,,,,
2009,"1021000406",502,,,9000,,,,,
2009,"1021000406",604,,,25000,,,,,
2009,"1021000408",302,,,,,200000,,,
2009,"1021000408",308,3,5,9000,,,,,1800
2009,"1021000408",310,66,,,,,30,60000,2000
2009,"1021000408",451,54,6,300,,,,,50
2009,"1021000408",452,47,2,2000,,,,,1000
2009,"1021000408",455,,,5000,,,,,
2009,"1021000408",463,,,50000,,,,,
2009,"1021000408",467,,,40000,,,,,
2009,"1021000408",468,,,2000,,,,,
2009,"1021000408",601,,,15000,,,,,
2009,"1021000408",604,,,30000,,,,,
2009,"1021000409",303,,,,,,,40000,
2009,"1021000409",305,,,4400,,,,,
2009,"1021000409",308,3,1,2000,,,,,2000
2009,"1021000409",309,13,0.5,15000,,,,,30000
2009,"1021000409",451,54,4,200,,,,,50
2009,"1021000409",452,47,2,3000,,,,,1500
2009,"1021000409",454,,,1000,,,,,
2009,"1021000409",457,84,6,6000,,,,,1000
2009,"1021000409",467,,,20000,,,,,
2009,"1021000409",604,,,700,,,,,
2009,"1021000501",302,,,,,150000,,,
2009,"1021000501",305,,,1500,,,,,
2009,"1021000501",308,3,1,2000,,,,,2000
2009,"1021000501",451,54,16,800,,,,,50
2009,"1021000501",452,48,4,800,,,,,200
2009,"1021000501",454,,,800,,,,,
2009,"1021000501",455,,,1000,,,,,
2009,"1021000501",457,84,1,900,,,,,900
2009,"1021000501",463,,,2000,,,,,
2009,"1021000501",467,,,20000,,,,,
2009,"1021000501",502,,,13000,,,,,
2009,"1021000501",602,,,7000,,,,,
2009,"1021000501",604,,,2000,,,,,
2009,"1021000503",303,,,,,,,200000,
2009,"1021000503",305,,,3000,,,,,
2009,"1021000503",306,,,10000,,,,,
2009,"1021000503",309,9,0.33,10000,,,,,30000
2009,"1021000503",451,54,1,200,,,,,100
2009,"1021000503",452,47,2,,,,2,2600,1300
2009,"1021000503",454,,,1000,,,,,
2009,"1021000503",455,,,,,,,3000,
2009,"1021000503",463,,,6000,,,,,
2009,"1021000503",502,,,,,,,1000,
2009,"1021000504",301,,,20000,,,,,
2009,"1021000504",305,,,6000,,,,,
2009,"1021000504",308,3,1,2000,,,,,2000
2009,"1021000504",309,13,1,30000,,,,,30000
2009,"1021000504",451,54,4,200,,,,,50
2009,"1021000504",452,47,2,2800,,,,,1400
2009,"1021000504",463,,,20000,,,,,
2009,"1021000504",467,,,30000,,,,,
2009,"1021000504",503,,,65000,,,,,
2009,"1021000504",601,,,5000,,,,,
2009,"1021000506",301,,,100000,,,,,
2009,"1021000506",305,,,18000,,,,,
2009,"1021000506",308,3,0.25,500,,,,,2000
2009,"1021000506",309,10,1,30000,,,,,30000
2009,"1021000506",451,54,8,400,,,,,50
2009,"1021000506",452,47,2,4000,,,,,2000
2009,"1021000506",453,46,2,3200,,,,,1600
2009,"1021000506",454,,,1000,,,,,
2009,"1021000506",455,,,25000,,,,,
2009,"1021000506",459,,,3000,,,,,
2009,"1021000506",463,,,60000,,,,,
2009,"1021000506",465,,,10000,,,,,
2009,"1021000506",467,,,50000,,,,,
2009,"1021000506",604,,,35000,,,,,
2009,"1021000604",302,,,,,60000,,,
2009,"1021000604",305,,,28000,,,,,
2009,"1021000604",308,3,1,2000,,,,,2000
2009,"1021000604",309,22,4,20000,,,,,5000
2009,"1021000604",310,66,20,20000,,,,,1000
2009,"1021000604",451,54,4,400,,,,,100
2009,"1021000604",452,47,8,9600,,,,,1200
2009,"1021000604",454,,,1000,,,,,
2009,"1021000604",467,,,12000,,,,,
2009,"1021000604",469,,,5000,,,,,
2009,"1021000604",502,,,40000,,,,,
2009,"1021000604",604,,,5000,,,,,
2009,"1021000607",302,,,,,200000,,,
2009,"1021000607",305,,,20000,,,,,
2009,"1021000607",306,,,51000,,,,,
2009,"1021000607",309,13,1,30000,,,,,30000
2009,"1021000607",451,54,2,100,,,,,50
2009,"1021000607",452,47,8,8000,,,,,1000
2009,"1021000607",453,46,3,3600,,,,,1200
2009,"1021000607",454,,,7200,,,,,
2009,"1021000607",455,,,15000,,,,,
2009,"1021000607",462,,,300000,,,,,
2009,"1021000607",463,,,100000,,,,,
2009,"1021000607",467,,,200000,,,,,
2009,"1021000607",502,,,120000,,,,,
2009,"1021000607",601,,,100000,,,,,
2009,"1021000607",602,,,50000,,,,,
2009,"1021000607",604,,,20000,,,,,
2009,"1021000610",302,,,,,300000,,,
2009,"1021000610",305,,,44800,,,,,
2009,"1021000610",306,,,22242,,,,,
2009,"1021000610",308,3,5,10000,,,,,2000
2009,"1021000610",309,13,1,30000,,,,,30000
2009,"1021000610",451,54,10,1000,,,,,100
2009,"1021000610",452,47,8,20000,,,,,2500
2009,"1021000610",453,46,4,4000,,,,,1000
2009,"1021000610",454,,,2000,,,,,
2009,"1021000610",455,,,3500,,,,,
2009,"1021000610",463,,,56000,,,,,
2009,"1021000610",465,,,20000,,,,,
2009,"1021000610",467,,,280000,,,,,
2009,"1021000610",502,,,63000,,,,,
2009,"1021000610",604,,,11000,,,,,
2009,"1021000612",302,,,,,250000,,,
2009,"1021000612",305,,,30000,,,,,
2009,"1021000612",306,,,6390,,,,,
2009,"1021000612",308,3,0.5,1000,,,,,2000
2009,"1021000612",309,13,1,38000,,,,,35000
2009,"1021000612",451,54,4,200,,,,,50
2009,"1021000612",452,47,12,14400,,,,,1200
2009,"1021000612",454,,,2000,,,,,
2009,"1021000612",455,,,30000,,,,,
2009,"1021000612",458,,,4800,,,,,
2009,"1021000612",463,,,108000,,,,,
2009,"1021000612",467,,,20000,,,,,
2009,"1021000612",502,,,300,,,,,
2009,"1021000612",604,,,51000,,,,,
2009,"1021000701",301,,,300000,,,,,
2009,"1021000701",305,,,4000,,,,,
2009,"1021000701",306,,,50000,,,,,
2009,"1021000701",309,13,1,28000,,,,,28000
2009,"1021000701",451,54,4,200,,,,,50
2009,"1021000701",452,47,5,6000,,,,,1200
2009,"1021000701",453,46,4,7200,,,,,1800
2009,"1021000701",454,,,6000,,,,,
2009,"1021000701",455,,,6000,,,,,
2009,"1021000701",456,,,30000,,,,,
2009,"1021000701",457,,,,,,,,1200
2009,"1021000701",458,,,36000,,,,,
2009,"1021000701",461,,,260000,,,,,
2009,"1021000701",462,,,90000,,,,,
2009,"1021000701",463,,,95200,,,,,
2009,"1021000701",464,,,360000,,,,,
2009,"1021000701",465,,,36000,,,,,
2009,"1021000701",467,,,180000,,,,,
2009,"1021000701",468,,,8000,,,,,
2009,"1021000701",502,,,16000,,,,,
2009,"1021000701",604,,,48000,,,,,
2009,"1021000701",605,,,70000,,,,,
2009,"1021000702",301,,,40000,,,,,
2009,"1021000702",305,,,12000,,,,,
2009,"1021000702",309,12,1,20000,,,,,20000
2009,"1021000702",311,,,6000,,,,,
2009,"1021000702",451,54,4,400,,,,,100
2009,"1021000702",452,47,4,6000,,,,,1500
2009,"1021000702",454,,,1000,,,,,
2009,"1021000702",455,,,1000,,,,,
2009,"1021000702",457,84,1,1000,,,,,1000
2009,"1021000702",467,,,4000,,,,,
2009,"1021000702",502,,,13000,,,,,
2009,"1021000702",604,,,1000,,,,,
2009,"1021000703",302,,,,,150000,,,
2009,"1021000703",305,,,6000,,,,,
2009,"1021000703",308,3,2.5,5000,,,,,2000
2009,"1021000703",309,13,0.25,5000,,,,,20000
2009,"1021000703",451,54,1,50,,,,,50
2009,"1021000703",452,47,1,1700,,,,,1700
2009,"1021000703",453,46,2,3600,,,,,1800
2009,"1021000703",454,,,700,,,,,
2009,"1021000703",463,,,130000,,,,,
2009,"1021000703",465,,,48000,,,,,
2009,"1021000703",467,,,70000,,,,,
2009,"1021000703",502,,,10000,,,,,
2009,"1021000703",604,,,20000,,,,,
2009,"102100070302",301,,,70000,,,,,
2009,"102100070302",305,,,6000,,,,,
2009,"102100070302",306,,,14000,,,,,
2009,"102100070302",308,3,2,3940,,,,,1970
2009,"102100070302",309,9,0.3,7500,,,,,25000
2009,"102100070302",451,51,4,200,,,,,50
2009,"102100070302",452,47,3,3000,,,,,1000
2009,"102100070302",453,46,2,3000,,,,,1500
2009,"102100070302",454,,,3000,,,,,
2009,"102100070302",455,,,20000,,,,,
2009,"102100070302",456,,,30000,,,,,
2009,"102100070302",459,,,30000,,,,,
2009,"102100070302",463,,,10000,,,,,
2009,"102100070302",467,,,20000,,,,,
2009,"102100070302",502,,,15000,,,,,
2009,"102100070302",604,,,20000,,,,,
2009,"1021000705",303,,,,,,,60000,
2009,"1021000705",305,,,6000,,,,,
2009,"1021000705",308,3,0.5,1000,,,,,2000
2009,"1021000705",309,13,0.5,12000,,,,,24000
2009,"1021000705",451,54,2,100,,,,,50
2009,"1021000705",452,47,2,2000,,,,,1000
2009,"1021000705",454,,,800,,,,,
2009,"1021000705",461,,,2500,,,,,
2009,"1021000705",463,,,3000,,,,,
2009,"1021000705",467,,,6000,,,,,
2009,"1021000705",502,,,600,,,,,
2009,"1021000705",601,,,2000,,,,,
2009,"1021000705",604,,,1000,,,,,
2009,"1021000709",302,,,,,100000,,,
2009,"1021000709",305,,,40000,,,,,
2009,"1021000709",306,,,30000,,,,,
2009,"1021000709",309,10,1,20000,,,,,20000
2009,"1021000709",451,54,2,200,,,,,100
2009,"1021000709",452,47,5,7500,,,,,1500
2009,"1021000709",453,46,4,6000,,,,,1500
2009,"1021000709",454,,,5000,,,,,
2009,"1021000709",455,,,2500,,,,,
2009,"1021000709",463,,,30000,,,,,
2009,"1021000709",465,,,5000,,,,,
2009,"1021000709",467,,,20000,,,,,
2009,"1021000709",502,,,15000,,,,,
2009,"1021000709",503,,,35000,,,,,
2009,"1021000709",604,,,5000,,,,,
2009,"1021000710",302,,,,,90000,,,
2009,"1021000710",305,,,40000,,,,,
2009,"1021000710",309,13,4,80000,,,,,20000
2009,"1021000710",310,66,,,,,6,30000,5000
2009,"1021000710",451,54,12,600,,,,,50
2009,"1021000710",452,47,4,7200,,,,,1800
2009,"1021000710",453,46,6,6000,,,,,1500
2009,"1021000710",454,,,7000,,,,,
2009,"1021000710",455,,,25000,,,,,
2009,"1021000710",457,84,8,8000,,,,,1000
2009,"1021000710",462,,,200000,,,,,
